  #K-Path    Energy        Ti        Al
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    4.692  -56.5095     0.994     0.000
    4.712  -56.5094     0.996     0.000
    4.733  -56.5094     0.996     0.000
    4.753  -56.5094     0.994     0.000
    4.773  -56.5094     0.994     0.000
    4.794  -56.5094     0.994     0.000
    4.814  -56.5094     0.994     0.000
    4.834  -56.5094     0.996     0.000
    4.855  -56.5093     0.996     0.000
    4.875  -56.5093     0.996     0.000
    4.895  -56.5093     0.992     0.000
    4.916  -56.5093     0.994     0.000
    4.936  -56.5093     0.994     0.000
    4.956  -56.5092     0.995     0.000
 
# Band-Index:    2
    4.956  -56.5092     0.994     0.000
    4.936  -56.5093     0.994     0.000
    4.916  -56.5093     0.996     0.000
    4.895  -56.5093     0.994     0.000
    4.875  -56.5093     0.994     0.000
    4.855  -56.5093     0.994     0.000
    4.834  -56.5094     0.996     0.000
    4.814  -56.5094     0.994     0.000
    4.794  -56.5094     0.994     0.000
    4.773  -56.5094     0.994     0.000
    4.753  -56.5094     0.994     0.000
    4.733  -56.5094     0.994     0.000
    4.712  -56.5094     0.992     0.000
    4.692  -56.5095     0.996     0.000
    4.671  -56.5095     0.994     0.000
    4.651  -56.5095     0.996     0.000
    4.631  -56.5095     0.994     0.000
    4.610  -56.5095     0.996     0.000
    4.590  -56.5095     0.994     0.000
    4.570  -56.5095     0.994     0.000
    4.570  -56.5373     0.992     0.000
    4.549  -56.5374     0.996     0.000
    4.529  -56.5374     0.996     0.000
    4.509  -56.5374     0.996     0.000
    4.488  -56.5374     0.992     0.000
    4.468  -56.5374     0.992     0.000
    4.448  -56.5375     0.996     0.000
    4.427  -56.5375     0.996     0.000
    4.407  -56.5375     0.996     0.000
    4.387  -56.5375     0.996     0.000
    4.366  -56.5375     0.992     0.000
    4.346  -56.5375     0.996     0.000
    4.326  -56.5376     0.996     0.000
    4.305  -56.5376     0.996     0.000
    4.285  -56.5376     0.992     0.000
    4.264  -56.5376     0.996     0.000
    4.244  -56.5376     0.996     0.000
    4.224  -56.5376     0.996     0.000
    4.203  -56.5376     0.996     0.000
    4.183  -56.5376     0.996     0.000
    4.183  -56.5660     0.992     0.000
    4.142  -56.5658     0.996     0.000
    4.100  -56.5652     0.996     0.000
    4.059  -56.5642     0.992     0.000
    4.018  -56.5629     0.992     0.000
    3.976  -56.5612     0.992     0.000
    3.935  -56.5591     0.992     0.000
    3.893  -56.5567     0.996     0.000
    3.852  -56.5539     0.996     0.000
    3.811  -56.5509     0.992     0.000
    3.769  -56.5476     0.996     0.000
    3.728  -56.5440     0.996     0.000
    3.686  -56.5402     0.992     0.000
    3.645  -56.5362     0.992     0.000
    3.604  -56.5319     0.996     0.000
    3.562  -56.5276     0.996     0.000
    3.521  -56.5231     0.996     0.000
    3.480  -56.5185     0.996     0.000
    3.438  -56.5139     0.996     0.000
    3.397  -56.5092     0.994     0.000
    3.397  -56.5092     0.996     0.000
    3.368  -56.5116     0.996     0.000
    3.338  -56.5139     0.996     0.000
    3.309  -56.5162     0.992     0.000
    3.280  -56.5184     0.994     0.000
    3.250  -56.5206     0.996     0.000
    3.221  -56.5226     0.994     0.000
    3.192  -56.5246     0.996     0.000
    3.163  -56.5265     0.992     0.000
    3.133  -56.5283     0.994     0.000
    3.104  -56.5299     0.996     0.000
    3.075  -56.5314     0.994     0.000
    3.046  -56.5328     0.994     0.000
    3.016  -56.5340     0.994     0.000
    2.987  -56.5350     0.996     0.000
    2.958  -56.5358     0.996     0.000
    2.929  -56.5365     0.996     0.000
    2.899  -56.5370     0.994     0.000
    2.870  -56.5372     0.994     0.000
    2.841  -56.5373     0.994     0.000
    2.841  -56.5373     0.994     0.000
    2.812  -56.5397     0.996     0.000
    2.782  -56.5421     0.996     0.000
    2.753  -56.5444     0.996     0.000
